Country,Province,District,Ward,Male,Female,Total,Households,Difference,M:F ratio,Total_District,Households_District,dist_Avg_House,prov(M/F),prov_Female %,prov_Male %,prov_Avg_house,dist_dist(M/F),dist_Female %,dist_Male %
Zimbabwe,Manicaland,Mutasa,Ward 28,2079,2493,4572,1172,414,83,197808,52370,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutasa,Ward 29,1342,1423,2765,710,81,94,197808,52370,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutasa,Ward 30,3009,3478,6487,1589,469,87,197808,52370,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutasa,Ward 31,3139,3769,6908,1918,630,83,197808,52370,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Nyanga,Ward 01,3081,3350,6431,1438,269,92,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 02,3966,4092,8058,2065,126,97,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 03,3645,3970,7615,1854,325,92,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 04,3846,4495,8341,2163,649,86,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 05,3255,3680,6935,1677,425,88,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 06,1836,2275,4111,1102,439,81,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 07,2034,2358,4392,1132,324,86,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 08,1469,1658,3127,839,189,89,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 09,3286,3614,6900,1728,328,91,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 10,1559,1850,3409,929,291,84,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 11,1696,1931,3627,943,235,88,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 12,2536,2808,5344,1326,272,90,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 13,1547,1722,3269,810,175,90,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 14,1988,2200,4188,1053,212,90,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 15,5348,5788,11136,2801,440,92,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 16,1574,1576,3150,757,2,100,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 17,1806,2158,3964,1098,352,84,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 18,1850,2286,4136,1208,436,81,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 19,1777,2025,3802,1066,248,88,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 20,1724,951,2675,1413,-773,181,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 21,3783,4406,8189,2059,623,86,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 22,1503,1710,3213,874,207,88,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 23,3316,3251,6567,1536,-65,102,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 24,1299,1123,2422,758,-176,116,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 25,1380,1106,2486,984,-274,125,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 26,1721,1301,3022,1259,-420,132,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 27,1254,1405,2659,721,151,89,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 28,476,357,833,273,-119,133,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 29,2676,3007,5683,1762,331,89,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 30,1857,2133,3990,1048,276,87,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Nyanga,Ward 31,1310,1243,2553,678,-67,105,146227,39354,4,90,53,47,4,93,52,48
Zimbabwe,Manicaland,Mutare Urban,Ward 01,3728,3673,7401,2247,-55,101,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 02,2360,2263,4623,1361,-97,104,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 03,3155,3413,6568,1866,258,92,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 04,3315,3377,6692,1976,62,98,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 05,4073,4331,8404,2308,258,94,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 06,2213,2642,4855,1254,429,84,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 07,3534,3925,7459,1772,391,90,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 08,2609,3128,5737,1538,519,83,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 09,3148,3778,6926,1862,630,83,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 10,1656,1495,3151,1002,-161,111,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 11,5450,6166,11616,3580,716,88,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 12,7341,7996,15337,4040,655,92,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 13,3887,3713,7600,1735,-174,105,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 14,8956,10420,19376,5388,1464,86,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 15,10396,11754,22150,5767,1358,88,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 16,11520,13375,24895,6608,1855,86,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 17,20646,22992,43638,11272,2346,90,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 18,7482,8730,16212,4206,1248,86,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Mutare Urban,Ward 19,1123,1041,2164,573,-82,108,224804,60355,4,90,53,47,4,90,53,47
Zimbabwe,Manicaland,Rusape Urban,Ward 01,1790,2100,3890,1095,310,85,37906,10566,4,90,53,47,4,87,53,47
Zimbabwe,Manicaland,Rusape Urban,Ward 02,662,750,1412,407,88,88,37906,10566,4,90,53,47,4,87,53,47
Zimbabwe,Manicaland,Rusape Urban,Ward 03,617,734,1351,406,117,84,37906,10566,4,90,53,47,4,87,53,47
Zimbabwe,Manicaland,Rusape Urban,Ward 04,1442,1583,3025,852,141,91,37906,10566,4,90,53,47,4,87,53,47
Zimbabwe,Manicaland,Rusape Urban,Ward 05,1043,1274,2317,611,231,82,37906,10566,4,90,53,47,4,87,53,47
Zimbabwe,Manicaland,Rusape Urban,Ward 06,3223,3785,7008,2022,562,85,37906,10566,4,90,53,47,4,87,53,47
Zimbabwe,Manicaland,Rusape Urban,Ward 07,329,408,737,229,79,81,37906,10566,4,90,53,47,4,87,53,47
Zimbabwe,Manicaland,Rusape Urban,Ward 08,2514,2880,5394,1609,366,87,37906,10566,4,90,53,47,4,87,53,47
Zimbabwe,Manicaland,Rusape Urban,Ward 09,3766,4400,8166,2135,634,86,37906,10566,4,90,53,47,4,87,53,47
Zimbabwe,Manicaland,Rusape Urban,Ward 10,2278,2328,4606,1200,50,98,37906,10566,4,90,53,47,4,87,53,47
Zimbabwe,Manicaland,Chipinge Urban,Ward 01,1620,1941,3561,917,321,83,34959,9353,4,90,53,47,4,83,55,45
Zimbabwe,Manicaland,Chipinge Urban,Ward 02,2258,2717,4975,1351,459,83,34959,9353,4,90,53,47,4,83,55,45
Zimbabwe,Manicaland,Chipinge Urban,Ward 03,1398,1841,3239,868,443,76,34959,9353,4,90,53,47,4,83,55,45
Zimbabwe,Manicaland,Chipinge Urban,Ward 04,1410,1603,3013,883,193,88,34959,9353,4,90,53,47,4,83,55,45
Zimbabwe,Manicaland,Chipinge Urban,Ward 05,1022,1234,2256,645,212,83,34959,9353,4,90,53,47,4,83,55,45
Zimbabwe,Manicaland,Chipinge Urban,Ward 06,1616,2008,3624,938,392,80,34959,9353,4,90,53,47,4,83,55,45
Zimbabwe,Manicaland,Chipinge Urban,Ward 07,2604,3064,5668,1476,460,85,34959,9353,4,90,53,47,4,83,55,45
Zimbabwe,Manicaland,Chipinge Urban,Ward 08,3950,4673,8623,2275,723,85,34959,9353,4,90,53,47,4,83,55,45
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 01,3250,3085,6335,1372,-165,105,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 02,4310,4105,8415,1895,-205,105,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 03,5095,5090,10185,2431,-5,100,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 04,4370,4182,8552,1868,-188,104,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 05,3286,3242,6528,1552,-44,101,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 06,9531,9722,19253,4865,191,98,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 07,4991,5041,10032,2401,50,99,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 08,3139,2939,6078,1395,-200,107,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 09,2234,2435,4669,1156,201,92,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 10,6773,7325,14098,3497,552,92,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 11,2559,2641,5200,1294,82,97,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 12,1720,1850,3570,901,130,93,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 13,1840,1924,3764,975,84,96,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 14,2364,2675,5039,1184,311,88,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 15,2848,3266,6114,1564,418,87,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 16,5682,6387,12069,2995,705,89,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 17,2998,3335,6333,1648,337,90,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 18,1895,2300,4195,1083,405,82,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 19,4204,4047,8251,1993,-157,104,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 20,4851,4662,9513,2352,-189,104,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Bindura Rural,Ward 21,6131,5517,11648,2834,-614,111,169841,41255,4,97,51,49,4,98,51,49
Zimbabwe,Mashonaland Central,Muzarabani,Ward 01,4001,4306,8307,1864,305,93,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 02,3145,3146,6291,1378,1,100,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 03,1355,1416,2771,639,61,96,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 04,2644,2711,5355,1202,67,98,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 05,2517,2690,5207,1150,173,94,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 06,1022,1033,2055,515,11,99,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 07,695,728,1423,342,33,95,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 08,2776,2938,5714,1476,162,94,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 09,2353,2446,4799,1133,93,96,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 10,4390,4741,9131,2157,351,93,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 11,2194,2154,4348,982,-40,102,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 12,2340,2411,4751,1174,71,97,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 13,1562,1477,3039,745,-85,106,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 14,3851,3819,7670,1856,-32,101,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 15,2200,2456,4656,1297,256,90,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 16,826,878,1704,393,52,94,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 17,2814,2829,5643,1320,15,99,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 18,1069,1083,2152,491,14,99,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 19,1370,1406,2776,645,36,97,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 20,719,764,1483,349,45,94,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 21,1313,1304,2617,609,-9,101,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 22,1641,1661,3302,732,20,99,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 23,4690,4611,9301,1958,-79,102,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 24,3298,3325,6623,1413,27,99,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 25,1589,1611,3200,748,22,99,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 26,2706,2552,5258,1237,-154,106,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 27,2119,2348,4467,1006,229,90,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 28,3113,2855,5968,1389,-258,109,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Muzarabani,Ward 29,2202,1863,4065,900,-339,118,134076,31100,4,97,51,49,4,98,50,50
Zimbabwe,Mashonaland Central,Guruwe,Ward 01,6974,6475,13449,3174,-499,108,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 02,3022,2948,5970,1237,-74,103,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 03,1449,1209,2658,532,-240,120,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 04,2397,2623,5020,1185,226,91,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 05,2832,3096,5928,1504,264,91,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 06,5331,5804,11135,3212,473,92,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 07,3557,3851,7408,1934,294,92,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 08,2231,2478,4709,1197,247,90,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 09,2321,2580,4901,1250,259,90,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 10,2266,2375,4641,1148,109,95,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 11,3347,3751,7098,1809,404,89,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 12,3220,3617,6837,1788,397,89,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 13,5931,5732,11663,2542,-199,103,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 14,3210,2891,6101,1474,-319,111,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 15,1547,1515,3062,693,-32,102,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 16,3891,4021,7912,1866,130,97,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 17,1594,1516,3110,644,-78,105,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 18,2394,2517,4911,1202,123,95,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 19,4518,4575,9093,2151,57,99,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 20,2296,2378,4674,1127,82,97,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 21,3878,3847,7725,1724,-31,101,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 22,4722,5453,10175,2539,731,87,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 23,1510,1482,2992,705,-28,102,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Guruwe,Ward 24,1230,1204,2434,569,-26,102,153606,37206,4,97,51,49,4,97,51,49
Zimbabwe,Mashonaland Central,Mazowe,Ward 01,3111,3378,6489,1571,267,92,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 02,2581,2798,5379,1295,217,92,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 03,2714,2968,5682,1428,254,91,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 04,2279,2431,4710,1167,152,94,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 05,2925,3356,6281,1585,431,87,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 06,3063,3533,6596,1682,470,87,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 07,2945,3338,6283,1569,393,88,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 08,5678,6119,11797,3073,441,93,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 09,3889,4283,8172,2188,394,91,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 10,4487,4545,9032,2237,58,99,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 11,3444,3844,7288,1844,400,90,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 12,4854,5526,10380,2602,672,88,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 13,3538,4028,7566,1921,490,88,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 14,5184,5045,10229,2525,-139,103,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 15,2705,3150,5855,1505,445,86,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 16,7239,7407,14646,3678,168,98,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 17,3310,3722,7032,1885,412,89,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 18,3588,3343,6931,1672,-245,107,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 19,5244,4849,10093,2613,-395,108,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 20,9387,9128,18515,5127,-259,103,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 21,4562,3665,8227,2183,-897,124,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 22,4441,4099,8540,2219,-342,108,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 23,2948,2719,5667,1523,-229,108,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 24,4783,4693,9476,2402,-90,102,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 25,4601,4335,8936,2216,-266,106,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 26,4027,3861,7888,2017,-166,104,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 27,6532,6678,13210,3270,146,98,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 29,5408,5266,10674,2776,-142,103,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 30,4721,4397,9118,2159,-324,107,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 31,4656,4407,9063,2315,-249,106,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 32,3710,3601,7311,1916,-109,103,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 33,4943,5585,10528,2875,642,89,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 34,6064,5350,11414,3262,-714,113,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mazowe,Ward 35,2199,2156,4355,1048,-43,102,293363,75348,4,97,51,49,4,99,50,50
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 01,1710,1786,3496,867,76,96,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 02,6276,6678,12954,3247,402,94,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 03,2308,2444,4752,1235,136,94,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 04,2184,2409,4593,1171,225,91,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 05,2440,2606,5046,1261,166,94,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 06,2661,2791,5452,1275,130,95,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 07,2770,3028,5798,1368,258,91,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 08,4401,4539,8940,2101,138,97,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 09,1401,1661,3062,822,260,84,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 10,5418,5389,10807,2521,-29,101,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 11,3482,3685,7167,1707,203,94,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 12,3309,3354,6663,1539,45,99,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 13,833,794,1627,371,-39,105,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 14,3929,4399,8328,1937,470,89,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 15,4949,5240,10189,2395,291,94,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 16,1987,2200,4187,992,213,90,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 17,3324,3556,6880,1608,232,93,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 18,3259,3465,6724,1541,206,94,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 19,4649,4547,9196,2044,-102,102,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 20,2461,2645,5106,1184,184,93,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 21,436,447,883,207,11,98,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 22,5345,5230,10575,2352,-115,102,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 23,4253,4460,8713,2120,207,95,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 24,5040,5276,10316,2499,236,96,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 25,748,824,1572,383,76,91,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 26,6036,6814,12850,3688,778,89,240728,58071,4,97,51,49,4,96,51,49
Zimbabwe,Mashonaland Central,Mount Darwin,Ward 27,4110,3374,7484,1902,-736,122,240728,58071,4,97,51,49,4,96,51,49
