Country,Province,District,Ward,Male,Female,Total,Households,Difference,M:F ratio,Total_District,Households_District,dist_Avg_House,prov(M/F),prov_Female %,prov_Male %,prov_Avg_house,dist_dist(M/F),dist_Female %,dist_Male %
Zimbabwe,Masvingo,Mwenezi,Ward 2,2481,3031,5512,1169,550,82,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Mwenezi,Ward 3,3677,4440,8117,1682,763,83,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Mwenezi,Ward 4,2829,3283,6112,1340,454,86,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Mwenezi,Ward 5,5316,6362,11678,2682,1046,84,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Mwenezi,Ward 6,1983,2456,4439,931,473,81,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Mwenezi,Ward 7,3446,4013,7459,1667,567,86,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Mwenezi,Ward 8,3252,4140,7392,1592,888,79,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Mwenezi,Ward 9,3480,4247,7727,1600,767,82,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Mwenezi,Ward 10,3794,4865,8659,1816,1071,78,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Mwenezi,Ward 11,3298,4200,7498,1555,902,79,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Mwenezi,Ward 12,2770,3329,6099,1287,559,83,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Mwenezi,Ward 13,22970,25237,48207,9530,2267,91,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Mwenezi,Ward 14,5032,5594,10626,2096,562,90,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Mwenezi,Ward 15,5901,6414,12315,2636,513,92,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Mwenezi,Ward 16,8131,9082,17213,3458,951,90,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Mwenezi,Ward 17,12666,14362,27028,5002,1696,88,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Mwenezi,Ward 18,2877,3549,6426,1901,672,81,209327,43603,5,87,53,47,4,86,54,46
Zimbabwe,Masvingo,Zaka,Ward 01,1635,1956,3591,822,321,84,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 02,2241,2682,4923,1223,441,84,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 03,3051,3651,6702,1621,600,84,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 04,4453,5188,9641,2280,735,86,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 05,3217,3959,7176,1655,742,81,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 06,2266,2692,4958,1148,426,84,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 07,1494,1684,3178,701,190,89,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 08,3338,3985,7323,1743,647,84,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 09,2671,3262,5933,1392,591,82,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 10,2485,2933,5418,1244,448,85,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 11,2733,3341,6074,1380,608,82,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 12,2755,3083,5838,1381,328,89,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 13,2161,2460,4621,1110,299,88,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 14,2379,2846,5225,1223,467,84,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 15,4136,4741,8877,1984,605,87,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 16,2299,2712,5011,1172,413,85,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 17,1381,1742,3123,744,361,79,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 18,2941,3477,6418,1479,536,85,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 19,6268,7677,13945,3865,1409,82,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 20,2571,3071,5642,1257,500,84,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 21,2795,3058,5853,1276,263,91,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 22,1814,2151,3965,928,337,84,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 23,2040,2482,4522,975,442,82,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 24,2822,3463,6285,1422,641,81,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 25,3785,4351,8136,1812,566,87,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 26,2243,2632,4875,1087,389,85,198889,46206,4,87,53,47,4,84,54,46
Zimbabwe,Masvingo,Zaka,Ward 27,3107,3674,6781,1494,567,85,198889,46206,4,87,53,47,4,84,54,46
